Date,Forecasted_Demand,Month
01-05-2026,174033.0375,5
02-05-2026,174510.8897,5
03-05-2026,174402.4897,5
04-05-2026,176801.7438,5
05-05-2026,175460.1818,5
06-05-2026,173488.3014,5
07-05-2026,177334.7521,5
08-05-2026,173070.6209,5
09-05-2026,172732.4737,5
10-05-2026,177791.1729,5
11-05-2026,173553.1069,5
12-05-2026,169051.4644,5
13-05-2026,178362.084,5
14-05-2026,181301.1134,5
15-05-2026,159961.5491,5
16-05-2026,164944.0113,5
17-05-2026,180508.083,5
18-05-2026,165716.4811,5
19-05-2026,167132.9517,5
20-05-2026,183840.1892,5
21-05-2026,173810.0033,5
22-05-2026,164494.6938,5
23-05-2026,183512.7199,5
24-05-2026,179823.3681,5
25-05-2026,161096.4972,5
26-05-2026,176202.3137,5
27-05-2026,180419.608,5
28-05-2026,160846.5811,5
29-05-2026,167354.9675,5
30-05-2026,180364.6063,5
31-05-2026,170263.4467,5
01-06-2026,166849.0543,6
02-06-2026,178522.373,6
03-06-2026,181552.1502,6
04-06-2026,161417.8299,6
05-06-2026,165308.1238,6
06-06-2026,182141.7531,6
07-06-2026,169059.3372,6
08-06-2026,166101.9772,6
09-06-2026,183993.7792,6
10-06-2026,172084.5343,6
11-06-2026,164949.4649,6
12-06-2026,183581.0266,6
13-06-2026,169612.3499,6
14-06-2026,166212.2585,6
15-06-2026,183407.6499,6
16-06-2026,173928.7357,6
17-06-2026,166285.9677,6
18-06-2026,180409.752,6
19-06-2026,183864.9862,6
20-06-2026,158209.8516,6
21-06-2026,162015.9552,6
22-06-2026,181425.1734,6
23-06-2026,158532.0905,6
24-06-2026,160301.0792,6
25-06-2026,179546.7886,6
26-06-2026,160051.0083,6
27-06-2026,159299.7953,6
28-06-2026,176857.0164,6
29-06-2026,168979.0525,6
30-06-2026,156809.7764,6
01-07-2026,183341.9186,7
02-07-2026,178566.8814,7
03-07-2026,153862.6944,7
04-07-2026,181566.2521,7
05-07-2026,176279.3975,7
06-07-2026,154917.8694,7
07-07-2026,176781.0008,7
08-07-2026,184215.6787,7
09-07-2026,150453.86,7
10-07-2026,166347.3889,7
11-07-2026,181089.22,7
12-07-2026,152524.3425,7
13-07-2026,165568.8561,7
14-07-2026,179583.3952,7
15-07-2026,153371.0261,7
16-07-2026,166051.6968,7
17-07-2026,179897.1476,7
18-07-2026,153321.5417,7
19-07-2026,166023.1564,7
20-07-2026,179897.1476,7
21-07-2026,153321.5417,7
22-07-2026,166035.8568,7
23-07-2026,179897.1476,7
24-07-2026,153321.5417,7
25-07-2026,166035.8568,7
26-07-2026,179897.1476,7
27-07-2026,153321.5417,7
28-07-2026,166035.8568,7
29-07-2026,179897.1476,7
